Date,ID_ABI_ABO,ID_Tematik,Plan,Real
11/14/2023,1,3,195,65
11/14/2023,2,4,146,85
11/17/2023,1,5,282,274
11/22/2023,2,4,284,221
11/25/2023,2,5,107,276
12/1/2023,2,4,271,252
12/2/2023,2,4,263,33
12/3/2023,2,4,266,17
12/4/2023,2,1,276,160
12/4/2023,1,5,169,173
12/8/2023,1,3,296,143
12/8/2023,2,2,224,181
12/10/2023,2,2,201,286
12/12/2023,2,2,87,227
12/16/2023,2,2,47,120
12/19/2023,1,4,222,168
12/19/2023,2,3,82,145
12/22/2023,1,3,197,16
12/22/2023,2,2,269,135
12/23/2023,1,2,19,255
12/26/2023,1,1,58,87
12/31/2023,2,3,16,12
1/1/2024,2,3,220,37
1/6/2024,2,5,146,211
1/9/2024,2,1,98,277
1/10/2024,1,5,50,120
1/13/2024,1,4,55,24
1/17/2024,1,2,262,65
1/19/2024,2,5,243,17
1/20/2024,1,2,62,181
1/21/2024,2,3,73,214
1/22/2024,1,4,199,200
1/25/2024,2,3,265,206
1/31/2024,1,4,62,160
1/31/2024,2,5,265,231
2/3/2024,1,3,75,139
2/4/2024,2,1,269,269
2/5/2024,2,1,55,169
2/5/2024,2,4,157,249
2/5/2024,2,1,185,31
2/6/2024,2,4,171,211
2/6/2024,2,3,134,32
2/9/2024,2,5,147,74
2/17/2024,2,4,226,286
2/18/2024,2,5,181,297
2/23/2024,1,3,270,240
2/23/2024,2,3,147,87
2/24/2024,2,5,237,75
2/24/2024,2,1,10,64
2/25/2024,1,1,193,12
2/26/2024,1,2,72,125
2/29/2024,1,4,291,235
3/7/2024,1,5,82,149
3/7/2024,1,4,192,122
3/10/2024,1,4,235,107
3/13/2024,2,3,277,63
3/17/2024,2,4,122,110
3/17/2024,2,1,13,25
3/18/2024,1,5,63,258
3/20/2024,2,3,211,28
3/25/2024,2,2,260,14
3/28/2024,1,3,18,242
4/1/2024,2,1,60,182
4/1/2024,1,3,108,158
4/4/2024,2,5,245,58
4/5/2024,2,5,55,44
4/9/2024,1,1,197,200
4/12/2024,2,3,13,143
4/13/2024,2,2,16,272
4/14/2024,1,2,61,36
4/18/2024,2,5,48,109
4/18/2024,2,3,219,279
4/19/2024,1,2,197,280
4/20/2024,1,3,127,170
4/25/2024,2,4,122,260
4/26/2024,2,5,34,88
4/29/2024,2,2,48,282
5/2/2024,1,4,123,287
5/3/2024,1,4,107,111
5/3/2024,1,2,56,297
5/8/2024,2,3,91,288
5/8/2024,2,2,38,118
5/11/2024,2,5,219,170
5/13/2024,2,3,224,99
5/14/2024,2,2,99,63
5/16/2024,1,1,210,221
5/23/2024,2,4,160,123
5/23/2024,1,1,267,272
5/24/2024,1,2,71,228
5/24/2024,1,3,162,203
5/25/2024,1,1,141,79
5/25/2024,1,5,15,206
5/27/2024,2,4,276,238
6/3/2024,1,3,183,59
6/4/2024,2,1,223,126
6/5/2024,1,1,192,162
6/8/2024,2,3,252,95
6/9/2024,1,2,246,290
6/13/2024,2,5,234,291
6/15/2024,2,2,186,105
6/18/2024,2,2,169,167
6/19/2024,2,3,163,239
6/20/2024,2,3,219,26
6/21/2024,1,2,22,45
6/25/2024,2,5,201,28
6/29/2024,2,4,91,241
6/29/2024,2,3,256,278
6/30/2024,2,1,26,181
7/7/2024,1,2,122,114
7/7/2024,2,5,45,241
7/12/2024,1,5,127,286
7/14/2024,1,1,233,150
7/16/2024,1,2,270,270
7/17/2024,2,3,81,157
7/17/2024,1,4,231,240
7/22/2024,1,5,190,51
7/23/2024,2,2,172,290
7/23/2024,1,2,297,160
7/25/2024,2,5,106,19
7/28/2024,1,1,162,154
7/31/2024,2,5,71,143
8/1/2024,1,1,101,273
8/3/2024,1,1,117,235
8/10/2024,1,2,262,239
8/14/2024,2,4,157,170
8/24/2024,2,5,70,147
9/1/2024,1,5,84,155
9/3/2024,2,1,191,183
9/8/2024,1,4,123,84
9/14/2024,2,1,245,92
9/16/2024,1,5,189,216
9/19/2024,1,1,113,263
9/19/2024,1,1,268,207
9/21/2024,1,4,257,130
9/25/2024,2,2,202,190
9/28/2024,1,1,250,289
10/1/2024,1,3,260,188
10/3/2024,2,5,233,234
10/5/2024,2,1,272,117
10/8/2024,1,4,233,212
10/9/2024,2,3,90,172
10/10/2024,2,5,234,243
10/13/2024,1,2,278,190
10/17/2024,1,1,21,233
10/18/2024,2,3,101,67
10/23/2024,2,2,45,296
10/23/2024,1,1,68,140
10/25/2024,1,4,207,170
10/26/2024,2,5,237,280
10/31/2024,1,1,295,153
11/2/2024,2,5,131,60
11/3/2024,1,5,159,152
11/6/2024,2,2,187,37
11/6/2024,1,3,241,236
11/12/2024,2,1,163,77
11/14/2024,2,3,169,105
11/15/2024,2,5,158,89
11/15/2024,2,1,273,151
11/16/2024,1,5,131,41
11/17/2024,1,4,174,129
11/18/2024,1,1,254,86
11/19/2024,2,4,72,198
11/20/2024,1,4,42,188
11/30/2024,2,3,77,227
11/30/2024,1,4,200,262
11/30/2024,2,2,206,20
12/3/2024,2,3,32,39
12/4/2024,1,5,213,173
12/4/2024,1,5,287,256
12/12/2024,1,2,227,150
12/14/2024,2,3,154,94
12/14/2024,2,3,224,137
12/14/2024,2,2,11,234
12/15/2024,1,4,286,150
12/15/2024,1,2,273,223
12/16/2024,2,2,93,120
12/17/2024,2,1,297,43
12/20/2024,1,2,62,289
12/21/2024,2,5,283,104
12/25/2024,2,4,115,229
12/25/2024,1,1,85,208
12/26/2024,2,1,35,18
12/30/2024,2,4,212,193
12/31/2024,2,2,277,246
1/1/2025,1,1,237,201
1/2/2025,1,3,155,248
1/3/2025,2,1,245,237
1/5/2025,1,2,124,218
1/7/2025,1,4,108,48
1/10/2025,2,5,288,136
1/12/2025,1,2,138,289
1/15/2025,1,2,204,128
1/17/2025,1,4,248,275
1/18/2025,2,1,267,258
1/18/2025,1,3,38,45
1/19/2025,2,5,60,273
1/20/2025,2,3,145,153
1/20/2025,2,3,236,253
1/23/2025,2,2,157,10
1/26/2025,1,2,44,78
2/1/2025,1,4,16,38
2/2/2025,1,4,156,157
2/5/2025,2,2,158,173
2/6/2025,1,3,16,164
2/8/2025,2,1,295,125
2/8/2025,1,5,292,59
2/9/2025,1,5,62,174
2/12/2025,1,4,56,153
2/14/2025,1,2,99,124
2/16/2025,2,1,291,95
2/17/2025,1,1,110,119
2/18/2025,2,1,57,71
2/22/2025,2,4,165,17
2/23/2025,1,4,230,133
2/23/2025,2,4,78,43
3/2/2025,2,2,169,161
3/2/2025,2,2,280,217
3/3/2025,1,1,173,104
3/4/2025,1,5,276,20
3/4/2025,1,1,223,248
3/6/2025,2,4,53,295
3/7/2025,1,3,207,254
3/8/2025,1,3,258,175
3/10/2025,2,2,171,96
3/11/2025,1,5,86,125
3/11/2025,2,5,144,204
3/12/2025,2,1,246,281
3/12/2025,2,2,259,156
3/15/2025,1,4,223,44
3/15/2025,1,2,192,48
3/16/2025,1,3,24,201
3/17/2025,2,3,71,235
3/19/2025,2,2,23,21
3/26/2025,2,3,161,63
3/26/2025,1,5,54,190
3/31/2025,1,2,182,199
4/1/2025,2,5,211,47
4/1/2025,1,5,178,170
4/2/2025,1,3,252,40
4/3/2025,1,5,143,67
4/4/2025,2,1,250,268
4/6/2025,1,1,107,114
4/7/2025,2,4,14,36
4/7/2025,1,4,142,136
4/11/2025,1,3,144,30
4/12/2025,2,5,34,150
4/17/2025,1,3,110,273
4/17/2025,1,5,242,21
4/17/2025,1,3,37,75
4/20/2025,1,2,98,23
4/23/2025,2,1,266,142
4/25/2025,2,2,169,52
4/26/2025,1,2,182,142
4/27/2025,1,3,17,193
4/28/2025,2,4,101,30
4/29/2025,2,1,225,12
4/30/2025,2,5,78,108
4/30/2025,1,3,138,98
5/3/2025,1,1,195,72
5/6/2025,2,3,173,251
5/10/2025,1,3,81,198
5/13/2025,1,4,137,48
5/14/2025,2,5,168,237
5/21/2025,2,3,159,267
5/23/2025,2,3,19,240
5/30/2025,2,1,263,149
6/1/2025,2,2,224,91
6/3/2025,1,5,116,235
6/4/2025,1,3,261,238
6/5/2025,1,5,84,297
6/10/2025,1,3,72,240
6/18/2025,2,2,31,12
6/20/2025,2,2,270,147
6/21/2025,1,4,279,129
6/23/2025,2,5,289,90
6/25/2025,1,3,67,35
6/29/2025,2,3,103,104
7/2/2025,2,5,185,293
7/6/2025,1,2,175,99
7/7/2025,2,3,248,283
7/7/2025,1,5,75,84
7/9/2025,2,4,179,18
7/11/2025,2,5,47,106
7/11/2025,2,1,121,22
7/12/2025,2,3,44,102
7/14/2025,1,4,74,186
7/19/2025,2,4,265,275
7/23/2025,2,2,142,172
7/28/2025,1,5,17,209
7/30/2025,2,4,66,29
8/4/2025,1,4,273,64
8/9/2025,1,3,38,146
8/9/2025,1,3,122,11
8/13/2025,1,4,273,44
8/14/2025,2,4,13,229
8/15/2025,2,1,120,113
8/15/2025,2,5,213,227
8/15/2025,1,5,210,163
8/18/2025,1,5,140,266
8/19/2025,1,3,282,113
8/26/2025,1,3,189,199
8/26/2025,1,5,29,291
8/29/2025,1,4,297,224
8/29/2025,1,1,73,293
8/30/2025,1,2,49,233
8/31/2025,2,3,36,204
8/31/2025,2,2,274,12
9/1/2025,2,3,185,99
9/4/2025,1,5,277,192
9/6/2025,1,5,288,124
9/7/2025,2,1,265,137
9/8/2025,1,1,210,133
9/10/2025,1,4,39,256
9/16/2025,1,3,220,41
9/16/2025,2,3,112,282
9/18/2025,2,4,232,145
9/20/2025,1,4,69,231
9/21/2025,2,4,107,140
9/22/2025,2,4,199,222
10/3/2025,1,2,113,113
10/4/2025,2,3,83,242
10/5/2025,2,2,60,38
10/6/2025,2,1,170,178
10/6/2025,2,4,122,123
10/7/2025,1,3,275,139
10/9/2025,2,4,47,235
10/9/2025,1,2,131,10
10/11/2025,2,5,133,290
10/11/2025,2,3,110,195
10/12/2025,1,1,155,233
10/13/2025,1,2,167,130
10/14/2025,1,4,144,210
10/17/2025,1,4,201,236
10/17/2025,1,3,298,263
10/18/2025,2,2,269,200
10/21/2025,1,5,78,99
10/25/2025,2,3,216,24
10/25/2025,2,4,179,31
10/30/2025,1,2,102,275
11/1/2025,1,1,29,84
11/1/2025,2,4,150,40
11/1/2025,2,4,190,251
11/2/2025,1,2,251,222
11/4/2025,1,5,298,240
11/6/2025,1,4,286,241
11/6/2025,1,1,85,96
11/8/2025,2,1,87,184
11/9/2025,2,1,70,187
11/10/2025,1,2,224,97
11/26/2025,2,5,190,104
11/28/2025,1,3,187,160
11/28/2025,1,1,45,93
11/28/2025,2,4,38,254
11/28/2025,1,3,188,51
11/29/2025,1,4,232,15
11/29/2025,2,3,246,298
12/2/2025,2,5,21,104
12/3/2025,1,3,26,66
12/6/2025,1,4,84,146
12/12/2025,2,4,117,14
12/15/2025,2,3,57,70
12/18/2025,1,1,188,215
12/19/2025,2,1,154,102
12/28/2025,1,1,103,247
12/29/2025,1,4,278,58
